artist_name,image_url
Witt Lowry,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Witt%20Lowry.jpg?raw=true
Ember Island,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ember%20Island.jpg?raw=true
Kodak Black,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Kodak%20Black.jpg?raw=true
Lil Peep,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lil%20Peep.jpg?raw=true
JK Jones,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/JK%20Jones.jpg?raw=true
Khlaw,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Khlaw.jpg?raw=true
Dubskie,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dubskie.jpg?raw=true
escape,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/escape.jpg?raw=true
gnash,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/gnash.jpg?raw=true
Halsey,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Halsey.jpg?raw=true
The Chainsmokers,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/The%20Chainsmokers.jpg?raw=true
SAINt JHN,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/SAINt%20JHN.jpg?raw=true
Hippie Sabotage,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Hippie%20Sabotage.jpg?raw=true
Jorden world,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jorden%20world.jpg?raw=true
Royal & the Serpent,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Royal%20%26%20the%20Serpent.jpg?raw=true
Megan Thee Stallion,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Megan%20Thee%20Stallion.jpg?raw=true
Sqweezey,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sqweezey.jpg?raw=true
347aidan,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/347aidan.jpg?raw=true
Olivia Rodrigo,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Olivia%20Rodrigo.jpg?raw=true
Alex & Sierra,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Alex%20%26%20Sierra.jpg?raw=true
Jules LeBlanc,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Jules%20LeBlanc.jpg?raw=true
Yagih Mael,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Yagih%20Mael.jpg?raw=true
G-Eazy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/G-Eazy.jpg?raw=true
Sasha Alex Sloan,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sasha%20Alex%20Sloan.jpg?raw=true
Trevor Daniel,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Trevor%20Daniel.jpg?raw=true
Alec Benjamin,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Alec%20Benjamin.jpg?raw=true
PUBLIC,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/PUBLIC.jpg?raw=true
Trinidad Cardona,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Trinidad%20Cardona.jpg?raw=true
Maximillian,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Maximillian.jpg?raw=true
Bon Jovi,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Bon%20Jovi.jpg?raw=true
Sandaru Sathsara,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Sandaru%20Sathsara.jpg?raw=true
Retronaut,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Retronaut.jpg?raw=true
K'NAAN,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/K%27NAAN.jpg?raw=true
24kGoldn,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/24kGoldn.jpg?raw=true
TrigerPro,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/TrigerPro.jpg?raw=true
Minijau,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Minijau.jpg?raw=true
Anime your Music,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Anime%20your%20Music.jpg?raw=true
Charlie Puth,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Charlie%20Puth.jpg?raw=true
Lil Nas X,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lil%20Nas%20X.jpg?raw=true
Justin Bieber,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Justin%20Bieber.jpg?raw=true
Lil Mosey,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lil%20Mosey.jpg?raw=true
Dean Lewis,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Dean%20Lewis.jpg?raw=true
Ant Saunders,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ant%20Saunders.jpg?raw=true
Lauv,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lauv.jpg?raw=true
Harry Styles,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Harry%20Styles.jpg?raw=true
Tate McRae,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Tate%20McRae.jpg?raw=true
Lewis Capaldi,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lewis%20Capaldi.jpg?raw=true
Pink Sweat$,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Pink%20Sweat%24.jpg?raw=true
Epigenesis,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Epigenesis.jpg?raw=true
SUSHI,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/SUSHI.jpg?raw=true
Guidolain beats,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Guidolain%20beats.jpg?raw=true
Lo-Fi Luke,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lo-Fi%20Luke.jpg?raw=true
Goland,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Goland.jpg?raw=true
RŮDE,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/R%C5%AEDE.jpg?raw=true
Tranquil Teddy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Tranquil%20Teddy.jpg?raw=true
Tophat Panda,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Tophat%20Panda.jpg?raw=true
Ol Wallace,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ol%20Wallace.jpg?raw=true
Wolf Schranze,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Wolf%20Schranze.jpg?raw=true
RMaster,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/RMaster.jpg?raw=true
Taylor Davis,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Taylor%20Davis.jpg?raw=true
L'Orchestra Numerique,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/L%27Orchestra%20Numerique.jpg?raw=true
